source_type,source_id,source_url,old_linked_url,final_url,http_status,recommended_action,implementation_status,notes
post,26,https://staging2.braveheartspublishing.com/adventure-books-for-kids-ages-6-9/,https://braveheartspublishing.com,https://www.braveheartspublishing.com/,200,Update stored source to final canonical URL after backup,not changed—backup/authentication required,Re-test after approved edit
post,28,https://staging2.braveheartspublishing.com/best-books-for-7-year-olds/,https://braveheartspublishing.com/books,https://www.braveheartspublishing.com/books,200,Update stored source to final canonical URL after backup,not changed—backup/authentication required,Re-test after approved edit
post,28,https://staging2.braveheartspublishing.com/best-books-for-7-year-olds/,https://www.braveheartspublishing.com/s/Mariana-Trench-20-min-Guide-300DPI.pdf,https://static1.squarespace.com/static/69a4852e7db0bc7e34bc3354/t/69dd0c272bf3f5703f470b59/1776094258999/Mariana+Trench+20+min+Guide+300DPI.pdf,200,Update stored source to final canonical URL after backup,not changed—backup/authentication required,Re-test after approved edit
post,38,https://staging2.braveheartspublishing.com/best-summer-reading-books-for-kids-ages-6-9/,https://braveheartspublishing.com/books,https://www.braveheartspublishing.com/books,200,Update stored source to final canonical URL after backup,not changed—backup/authentication required,Re-test after approved edit
post,56,https://staging2.braveheartspublishing.com/dog-man-to-magic-tree-house-reading-roadmap/,https://braveheartspublishing.com/books,https://www.braveheartspublishing.com/books,200,Update stored source to final canonical URL after backup,not changed—backup/authentication required,Re-test after approved edit
post,68,https://staging2.braveheartspublishing.com/how-stories-build-resilience-in-children/,https://braveheartspublishing.com,https://www.braveheartspublishing.com/,200,Update stored source to final canonical URL after backup,not changed—backup/authentication required,Re-test after approved edit
post,72,https://staging2.braveheartspublishing.com/kirkus-review-adventures-of-charlotte-and-henry/,https://braveheartspublishing.com/books,https://www.braveheartspublishing.com/books,200,Update stored source to final canonical URL after backup,not changed—backup/authentication required,Re-test after approved edit
post,72,https://staging2.braveheartspublishing.com/kirkus-review-adventures-of-charlotte-and-henry/,https://www.braveheartspublishing.com/s/Mariana-Trench-20-min-Guide-300DPI.pdf,https://static1.squarespace.com/static/69a4852e7db0bc7e34bc3354/t/69dd0c272bf3f5703f470b59/1776094258999/Mariana+Trench+20+min+Guide+300DPI.pdf,200,Update stored source to final canonical URL after backup,not changed—backup/authentication required,Re-test after approved edit
post,78,https://staging2.braveheartspublishing.com/my-child-got-a-lexile-score-now-what/,https://www.braveheartspublishing.com/s/Mariana-Trench-20-min-Guide-300DPI.pdf,https://static1.squarespace.com/static/69a4852e7db0bc7e34bc3354/t/69dd0c272bf3f5703f470b59/1776094258999/Mariana+Trench+20+min+Guide+300DPI.pdf,200,Update stored source to final canonical URL after backup,not changed—backup/authentication required,Re-test after approved edit
post,84,https://staging2.braveheartspublishing.com/science-books-for-kids-that-feel-like-adventures/,https://braveheartspublishing.com/books,https://www.braveheartspublishing.com/books,200,Update stored source to final canonical URL after backup,not changed—backup/authentication required,Re-test after approved edit
post,84,https://staging2.braveheartspublishing.com/science-books-for-kids-that-feel-like-adventures/,https://www.braveheartspublishing.com/s/Mariana-Trench-20-min-Guide-300DPI.pdf,https://static1.squarespace.com/static/69a4852e7db0bc7e34bc3354/t/69dd0c272bf3f5703f470b59/1776094258999/Mariana+Trench+20+min+Guide+300DPI.pdf,200,Update stored source to final canonical URL after backup,not changed—backup/authentication required,Re-test after approved edit
post,96,https://staging2.braveheartspublishing.com/what-to-read-after-dog-man/,https://braveheartspublishing.com/books,https://www.braveheartspublishing.com/books,200,Update stored source to final canonical URL after backup,not changed—backup/authentication required,Re-test after approved edit
post,96,https://staging2.braveheartspublishing.com/what-to-read-after-dog-man/,https://www.braveheartspublishing.com/s/Mariana-Trench-20-min-Guide-300DPI.pdf,https://static1.squarespace.com/static/69a4852e7db0bc7e34bc3354/t/69dd0c272bf3f5703f470b59/1776094258999/Mariana+Trench+20+min+Guide+300DPI.pdf,200,Update stored source to final canonical URL after backup,not changed—backup/authentication required,Re-test after approved edit
post,100,https://staging2.braveheartspublishing.com/why-stem-storytelling-builds-braver-kids/,https://braveheartspublishing.com,https://www.braveheartspublishing.com/,200,Update stored source to final canonical URL after backup,not changed—backup/authentication required,Re-test after approved edit
